Gene_symbol	Entrez_ID	RloopBase_tier
ADAR	103	1
AQR	9716	1
ATM	472	1
ATR	545	1
BLM	641	1
BRCA1	672	1
BRCA2	675	1
BRD4	23476	1
DDX1	1653	1
DDX21	9188	1
DDX5	1655	1
DHX9	1660	1
ERCC4	2072	1
ERCC5	2073	1
EWSR1	2130	1
EXOSC10	5394	1
FANCA	2175	1
FANCD2	2177	1
FANCI	55215	1
FANCM	57697	1
FEN1	2237	1
FUS	2521	1
HNRNPU	3192	1
MTREX	23517	1
NCL	4691	1
NONO	4841	1
POLR3G	10622	1
PRMT5	10419	1
RAD52	5893	1
RNASEH1	246243	1
RNASEH2A	10535	1
RNASEH2B	79621	1
RNASEH2C	84153	1
RNF2	6045	1
RPA1	6117	1
RPA2	6118	1
RPA3	6119	1
RTEL1	51750	1
SETX	23064	1
SF3B1	23451	1
SF3B3	23450	1
SFPQ	6421	1
SMN1	6606	1
SRSF1	6426	1
SRSF2	6427	1
TARDBP	23435	1
THOC1	9984	1
TOP1	7150	1
TOP3B	8940	1
U2AF1	7307	1
WRN	7486	1
XRN2	22803	1
ZNF346	23567	1
AGO2	27161	2
APOBEC3G	60489	2
ATAD5	79915	2
ATRX	546	2
ATXN2	6311	2
AURKA	6790	2
BRD2	6046	2
BUB3	9184	2
CDCA7	83879	2
CENPA	1058	2
CGAS	115004	2
DDX17	10521	2
DDX19B	11269	2
DDX23	9416	2
DDX39B	7919	2
ERCC6L2	375748	2
EXOG	9941	2
FAM120B	84498	2
FMR1	2332	2
GADD45A	1647	2
GLE1	2733	2
HELLS	3070	2
INO80	54617	2
LMNA	4000	2
MAT2A	4144	2
MDM2	4193	2
MDM4	4194	2
METTL3	56339	2
METTL8	79828	2
NFAT5	10725	2
PAF1	54623	2
PNPT1	87178	2
POLDIP3	84271	2
POT1	25913	2
PPP1R10	5514	2
PRIMPOL	201973	2
RAD51	5888	2
RAD9A	5883	2
RBM14	10432	2
RBM8A	9939	2
RECQL5	9400	2
RNF168	165918	2
RNGTT	8732	2
RPRD1B	58490	2
SAP130	79595	2
SIN3A	25942	2
SIRT7	51547	2
SLU7	10569	2
SMARCAL1	50485	2
SNRPA1	6627	2
SRPK2	6733	2
STAG1	10274	2
STAG2	10735	2
SUPV3L1	6832	2
TCEA1	6917	2
TCOF1	6949	2
TERF1	7013	2
TP53	7157	2
WAS	7454	2
WDR33	55339	2
XRCC5	7520	2
YTHDF2	51441	2
ZBTB24	9841	2
ZNF207	7756	2
ADARB1	104	3
AICDA	57379	3
ALKBH2	121642	3
ALKBH3	221120	3
APEX1	328	3
C1orf109	54955	3
CARM1	10498	3
CDC73	79577	3
CHEK1	1111	3
CHEK2	11200	3
DDB2	1643	3
DDX11	1663	3
DDX18	8886	3
DDX41	51428	3
DDX43	55510	3
DDX47	51202	3
DHX33	56919	3
